,Property Type,Price,Address,Locality,Beds,Baths,Home Size,Lot Size,Garage,Link,Construction
484,House for Sale,"$1,475,000",9855 Folsom Blvd,"Sacramento, CA 95827",5 bed,7.5 bath,"5,906 sqft",2.07 acres lot,3 car,https://www.realtor.com/realestateandhomes-detail/9855-Folsom-Blvd_Sacramento_CA_95827_M26732-02794?ex=CA2527426247,
485,House for Sale,"$265,000",1412 Rushden Dr,"Sacramento, CA 95864",3 bed,2 bath,"1,270 sqft","7,405 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1412-Rushden-Dr_Sacramento_CA_95864_M91617-45138,
486,House for Sale,"$540,000",4 Buenvante Pl,"Sacramento, CA 95835",2 bed,2.5 bath,"2,538 sqft","7,775 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/4-Buenvante-Pl_Sacramento_CA_95835_M29422-99338,
487,House for Sale,"$475,000",3041 Donner Way,"Sacramento, CA 95817",3 bed,2 bath,"1,236 sqft","6,970 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/3041-Donner-Way_Sacramento_CA_95817_M28324-71134,
488,House for Sale,"$599,000",773 Blackmer Cir,"Sacramento, CA 95825",3 bed,2.5 bath,"1,650 sqft","9,583 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/773-Blackmer-Cir_Sacramento_CA_95825_M24707-43225,
489,House for Sale,"$590,000",17 Windcatcher Ct,"Sacramento, CA 95834",5 bed,3 bath,"2,747 sqft","6,647 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/17-Windcatcher-Ct_Sacramento_CA_95834_M15619-24165,
490,House for Sale,"$649,000",5446 Carlson Dr,"Sacramento, CA 95819",4 bed,2 bath,"2,250 sqft","8,159 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5446-Carlson-Dr_Sacramento_CA_95819_M20847-29999,
491,House for Sale,"$550,000",2350 Portola Way,"Sacramento, CA 95818",2 bed,1.5 bath,"1,295 sqft","4,356 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2350-Portola-Way_Sacramento_CA_95818_M28828-17423,
492,House for Sale,"$385,000",9840 Tywood Ct,"Sacramento, CA 95827",3 bed,2 bath,"1,552 sqft","8,899 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/9840-Tywood-Ct_Sacramento_CA_95827_M15430-24035?ex=CA2526897190,
493,House for Sale,"$338,900",8604 Oldwoods Way,"Sacramento, CA 95828",3 bed,2 bath,"1,582 sqft","6,351 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8604-Oldwoods-Way_Sacramento_CA_95828_M10337-88079,
494,House for Sale,"$539,000",1112 34th Ave,"Sacramento, CA 95822",4 bed,2.5 bath,"2,360 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1112-34th-Ave_Sacramento_CA_95822_M20492-04183,
495,House for Sale,"$375,000",1615 Sandmark Dr,"Sacramento, CA 95835",3 bed,2 bath,"1,358 sqft","6,360 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1615-Sandmark-Dr_Sacramento_CA_95835_M23704-98757,
496,House for Sale,"$340,000",3501 Lindenwood Way,"Sacramento, CA 95826",4 bed,2 bath,"1,503 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3501-Lindenwood-Way_Sacramento_CA_95826_M23418-34034,
497,House for Sale,"$675,000",201 Sandburg Dr,"Sacramento, CA 95819",3 bed,2 bath,"1,742 sqft","8,638 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/201-Sandburg-Dr_Sacramento_CA_95819_M21067-54171,
498,House for Sale,"$312,000",5212 Fernwood Way,"Sacramento, CA 95841",3 bed,2 bath,"1,296 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5212-Fernwood-Way_Sacramento_CA_95841_M27444-21158,
499,House for Sale,"$304,900",4775 Bucknell Ct,"Sacramento, CA 95841",2 bed,2 bath,"1,279 sqft","3,485 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4775-Bucknell-Ct_Sacramento_CA_95841_M29804-15000,
500,House for Sale,"$299,000",2741 Santa Cruz Way,"Sacramento, CA 95817",3 bed,1 bath,"1,129 sqft","3,485 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/2741-Santa-Cruz-Way_Sacramento_CA_95817_M10434-70926,
501,House for Sale,"$399,000",9209 Starina Way,"Sacramento, CA 95826",4 bed,3 bath,"1,842 sqft","5,702 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/9209-Starina-Way_Sacramento_CA_95826_M13556-88142,
502,House for Sale,"$399,000",3251 Beretania Way,"Sacramento, CA 95834",4 bed,2 bath,"1,842 sqft","4,726 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3251-Beretania-Way_Sacramento_CA_95834_M16449-41006,
503,House for Sale,"$398,500",3917 LA Verne Way,"Sacramento, CA 95864",3 bed,2 bath,"1,189 sqft","7,479 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/3917-La-Verne-Way_Sacramento_CA_95864_M15411-81556,
504,House for Sale,"$338,500",NOT LISTED,"Sacramento, CA 95829",3 bed,2 bath,"1,255 sqft",NOT LISTED,yes car,https://www.realtor.com/realestateandhomes-detail/Sacramento_CA_95829_M14492-96151?ex=CA2526682052,
505,House for Sale,"$245,000",3721 Clay St,"Sacramento, CA 95838",3 bed,2 bath,"1,064 sqft","6,098 sqft lot",yes car,https://www.realtor.com/realestateandhomes-detail/3721-Clay-St_Sacramento_CA_95838_M24988-90965,
506,House for Sale,"$375,000",2236 32nd St,"Sacramento, CA 95817",2 bed,1 bath,846 sqft,"3,920 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2236-32nd-St_Sacramento_CA_95817_M25031-89266,
507,House for Sale,"$699,000",614 25th St,"Sacramento, CA 95816",4 bed,3 bath,"1,969 sqft","3,049 sqft lot",yes car,https://www.realtor.com/realestateandhomes-detail/614-25th-St_Sacramento_CA_95816_M19067-85123,
508,House for Sale,"$239,000",1225 Helena Ave,"Sacramento, CA 95815",4 bed,2 bath,"1,119 sqft","4,792 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1225-Helena-Ave_Sacramento_CA_95815_M29250-63703,
509,House for Sale,"$445,000",8095 Little Isle Ln,"Sacramento, CA 95831",3 bed,3 bath,"2,034 sqft","3,010 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8095-Little-Ilse-Ln_Sacramento_CA_95831_M11318-60696,
510,House for Sale,"$450,000",2661 16th St,"Sacramento, CA 95818",2 bed,1 bath,840 sqft,"3,920 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2661-16th-St_Sacramento_CA_95818_M24821-34009,
511,Condo/Townhome,"$240,000",2470 Northrop Ave Unit 11,"Sacramento, CA 95825",2 bed,2.5 bath,"1,217 sqft","1,346 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2470-Northrop-Ave-Apt-11_Sacramento_CA_95825_M21753-26530,
512,House for Sale,"$345,000",66 DE Fer Cir,"Sacramento, CA 95823",5 bed,3 bath,"2,196 sqft","6,717 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/66-De-Fer-Cir_Sacramento_CA_95823_M25475-12993,
